,Clone Group ID,Source Folder,Package,Class,Method,Method Signature,Start Line,End Line,Start Offset,End Offset,#PDG Nodes,#Statements,Line Coverage (%),Clone Group Size,Clone Group Info,Connected,Clone Pair Location,#Refactorable Pairs,Details
65,145,tests,org.jfree.data.xy.junit,DefaultXYZDatasetTests,testEquals,()V,87,94,2644,2938,,,,2.0,,,Clones are in different files,,
66,145,tests,org.jfree.data.xy.junit,DefaultXYDatasetTests,testEquals,()V,87,94,2653,2943,,,,,,,,,
69,155,tests,org.jfree.chart.title.junit,DateTitleTests,testEquals,()V,85,105,2514,3121,,,,2.0,,,Clones are in different files,,
70,155,tests,org.jfree.chart.title.junit,TextTitleTests,testEquals,()V,90,111,2723,3351,,,,,,,,,
73,164,tests,org.jfree.chart.renderer.category.junit,ScatterRendererTests,testEquals,()V,87,94,2669,2951,,,,2.0,,,Clones are in different files,,
74,164,tests,org.jfree.chart.renderer.junit,DefaultPolarItemRendererTests,testEquals,()V,84,91,2661,2975,,,,,,,,,
89,175,tests,org.jfree.chart.entity.junit,ContourEntityTests,testEquals,()V,84,105,2553,3349,,,,2.0,,,Clones are in different files,,
90,175,tests,org.jfree.chart.entity.junit,TickLabelEntityTests,testEquals,()V,84,105,2569,3374,,,,,,,,,
135,975,tests,org.jfree.data.time.junit,YearTests,testGetLastMillisecond,()V,334,344,9613,10056,,,,2.0,Subclone,1239.0,Clones are within the same file,,
136,975,tests,org.jfree.data.time.junit,YearTests,testGetFirstMillisecond,()V,280,290,7861,8303,,,,,,,,,
143,978,tests,org.jfree.data.time.junit,HourTests,testGetFirstMillisecond,()V,262,271,7583,8002,,,,2.0,Subclone,1244.0,Clones are within the same file,,
144,978,tests,org.jfree.data.time.junit,HourTests,testGetLastMillisecond,()V,315,324,9332,9742,,,,,,,,,
145,979,tests,org.jfree.data.time.junit,MinuteTests,testGetLastMillisecond,()V,265,274,8069,8485,,,,2.0,Subclone,1245.0,Clones are within the same file,,
146,979,tests,org.jfree.data.time.junit,MinuteTests,testGetFirstMillisecond,()V,212,221,6288,6715,,,,,,,,,
147,980,tests,org.jfree.data.time.junit,SecondTests,testGetLastMillisecond,()V,265,274,8131,8549,,,,2.0,Subclone,1246.0,Clones are within the same file,,
148,980,tests,org.jfree.data.time.junit,SecondTests,testGetFirstMillisecond,()V,212,221,6346,6777,,,,,,,,,
149,981,tests,org.jfree.data.time.junit,MillisecondTests,testGetFirstMillisecond,()V,231,240,7417,7863,,,,2.0,Subclone,1247.0,Clones are within the same file,,
150,981,tests,org.jfree.data.time.junit,MillisecondTests,testGetLastMillisecond,()V,284,293,9247,9680,,,,,,,,,
159,996,tests,org.jfree.chart.plot.junit,CombinedDomainCategoryPlotTests,createPlot,()QCombinedDomainCategoryPlot;,291,317,9430,10608,,,,,,,,,
160,1001,tests,org.jfree.chart.plot.dial.junit,DialPlotTests,testCapListener,()V,238,254,7205,7718,,,,2.0,,,Clones are within the same file,,
161,1001,tests,org.jfree.chart.plot.dial.junit,DialPlotTests,testFrameListener,()V,259,275,7814,8380,,,,,,,,,
236,1238,tests,org.jfree.data.time.junit,MinuteTests,testGetStart,()V,343,355,10630,11198,,,,2.0,,,Clones are within the same file,,
237,1238,tests,org.jfree.data.time.junit,MinuteTests,testGetEnd,()V,360,372,11276,11836,,,,,,,,,
266,1266,tests,org.jfree.chart.plot.junit,XYPlotTests,testSetRenderer,()V,880,890,32302,32777,,,,2.0,,,Clones are in different files,,
267,1266,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSetRenderer,()V,748,758,27760,28251,,,,,,,,,
272,1293,tests,org.jfree.chart.plot.junit,CombinedRangeXYPlotTests,testRemoveSubplot,()V,124,134,3877,4260,,,,2.0,,,Clones are in different files,,
273,1293,tests,org.jfree.chart.plot.junit,CombinedDomainXYPlotTests,testRemoveSubplot,()V,122,132,3858,4243,,,,,,,,,
688,1625,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testEquals,()V,276,314,10419,11899,,,,2.0,,,Clones are in different files,,
689,1625,tests,org.jfree.chart.plot.junit,XYPlotTests,testEquals,()V,235,273,8640,10178,,,,,,,,,
690,1674,tests,org.jfree.chart.junit,PieChartTests,testReplaceDatasetOnPieChart,()V,96,103,2770,3067,,,,2.0,,,Clones are in different files,,
691,1674,tests,org.jfree.chart.junit,PieChart3DTests,testReplaceDatasetOnPieChart,()V,102,109,3143,3440,,,,,,,,,
694,1687,tests,org.jfree.data.general.junit,DatasetUtilitiesTests,testFindMaximumRangeValue,()V,403,411,14857,15235,,,,2.0,,,Clones are within the same file,,
695,1687,tests,org.jfree.data.general.junit,DatasetUtilitiesTests,testFindMinimumRangeValue,()V,390,398,14387,14765,,,,,,,,,
705,1726,tests,org.jfree.data.time.ohlc.junit,OHLCSeriesCollectionTests,testSerialization,()V,134,140,4233,4474,,,,2.0,,,Clones are within the same file,,
706,1726,tests,org.jfree.data.time.ohlc.junit,OHLCSeriesCollectionTests,testCloning,()V,110,115,3484,3716,,,,,,,,,
707,1776,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests2,test5,()V,196,223,7244,8508,,,,2.0,,,Clones are within the same file,,
708,1776,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests2,test6,()V,237,265,9030,10299,,,,,,,,,
713,1780,tests,org.jfree.chart.plot.junit,PlotTests,testEquals,()V,99,125,3008,4117,,,,2.0,,,Clones are in different files,,
714,1780,tests,org.jfree.chart.axis.junit,AxisTests,testEquals,()V,114,140,3371,4341,,,,,,,,,
870,2010,tests,org.jfree.data.time.junit,TimeSeriesTests,testRemoveAgedItems,()V,713,720,23648,23998,,,,2.0,,,Clones are within the same file,,
871,2010,tests,org.jfree.data.time.junit,TimeSeriesTests,testRemoveAgedItems2,()V,751,758,25160,25510,,,,,,,,,
872,2027,tests,org.jfree.chart.plot.junit,CombinedRangeCategoryPlotTests,createPlot,()QCombinedRangeCategoryPlot;,300,307,9815,10225,,,,2.0,,,Clones are within the same method,,
873,2027,tests,org.jfree.chart.plot.junit,CombinedRangeCategoryPlotTests,createPlot,()QCombinedRangeCategoryPlot;,291,298,9368,9796,,,,,,,,,
1119,2305,tests,org.jfree.chart.plot.junit,SpiderWebPlotTests,testSerialization,()V,323,340,10925,11505,,,,2.0,,,Clones are in different files,,
1120,2305,tests,org.jfree.chart.renderer.xy.junit,XYBarRendererTests,testSerialization2,()V,238,255,7670,8245,,,,,,,,,
1121,2306,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSerialization2,()V,565,585,21207,22058,,,,2.0,,,Clones are within the same file,,
1122,2306,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSerialization,()V,535,554,20130,20988,,,,,,,,,
1141,2356,tests,org.jfree.chart.plot.junit,PiePlotTests,testEquals,()V,238,267,8719,9774,,,,2.0,,,Clones are in different files,,
1142,2356,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testEquals,()V,152,180,5020,6029,,,,,,,,,
1800,2507,tests,org.jfree.chart.axis.junit,PeriodAxisLabelInfoTests,testEquals,()V,94,100,2899,3172,,,,2.0,,,Clones are within the same file,,
1801,2507,tests,org.jfree.chart.axis.junit,PeriodAxisLabelInfoTests,testHashCode,()V,167,173,6062,6335,,,,,,,,,
1931,2659,tests,org.jfree.data.category.junit,CategoryToPieDatasetTests,testSerialization,()V,227,248,7505,8238,,,,2.0,,,Clones are in different files,,
1932,2659,tests,org.jfree.chart.junit,ChartRenderingInfoTests,testSerialization2,()V,176,192,5809,6379,,,,,,,,,
1958,2666,tests,org.jfree.chart.junit,JFreeChartTests,testSerialization1,()V,299,316,10020,10580,,,,2.0,,,Clones are in different files,,
1959,2666,tests,org.jfree.chart.plot.dial.junit,AbstractDialLayerTests,testSerialization,()V,125,144,3768,4393,,,,,,,,,
2020,2839,tests,org.jfree.chart.plot.junit,MeterPlotTests,testSerialization2,()V,289,305,10215,10788,,,,2.0,,,Clones are in different files,,
2021,2839,tests,org.jfree.chart.renderer.xy.junit,StackedXYAreaRendererTests,testSerialization,()V,165,181,5413,6002,,,,,,,,,
2042,2880,tests,org.jfree.chart.renderer.category.junit,GroupedStackedBarRendererTests,testDrawWithNullInfo,()V,169,177,5544,5980,,,,2.0,,,Clones are in different files,,
2043,2880,tests,org.jfree.chart.renderer.category.junit,IntervalBarRendererTests,testDrawWithNullInfo,()V,171,178,5468,5872,,,,,,,,,
2044,2889,tests,org.jfree.chart.plot.junit,ValueMarkerTests,testEquals,()V,139,163,4480,5376,,,,2.0,,,Clones are in different files,,
2045,2889,tests,org.jfree.chart.annotations.junit,TextAnnotationTests,testEquals,()V,86,115,2724,3649,,,,,,,,,
2048,2970,tests,org.jfree.chart.plot.junit,CombinedRangeCategoryPlotTests,createPlot,()QCombinedRangeCategoryPlot;,291,300,9384,9840,,,,2.0,,,Clones are within the same method,,
2049,2970,tests,org.jfree.chart.plot.junit,CombinedRangeCategoryPlotTests,createPlot,()QCombinedRangeCategoryPlot;,300,309,9831,10257,,,,,,,,,
2059,3093,tests,org.jfree.chart.renderer.junit,AbstractRendererTests,testOutlinePaintLookup,()V,899,915,31783,32571,,,,2.0,Subclone,3094.0,Clones are within the same file,,
2060,3093,tests,org.jfree.chart.renderer.junit,AbstractRendererTests,testPaintLookup,()V,857,873,30121,30845,,,,,,,,,
2284,3317,tests,org.jfree.chart.axis.junit,AxisLocationTests,testSerialization,()V,107,123,3360,3972,,,,2.0,,,Clones are in different files,,
