19:46:36.602 [main] INFO  - log file in /home/yannick/workspace/eclipse/jrefactoring/results/commons-lang-3.7/log.log
19:46:36.608 [main] INFO  - Testing refactorabiliy of clones in /home/yannick/workspace/eclipse/jrefactoring/results/commons-lang-3.7/commons-lang-3.7-deckard-selected.xls
19:46:37.993 [main] INFO  - 0%: Reading information from row 2 (Clone group ID 8, clone #1)
19:46:38.102 [main] INFO  - 0%: Generating PDG for method "testCompareDouble" in "org.apache.commons.lang3.math.NumberUtilsTest"
19:46:38.201 [main] INFO  - 0%: Reading information from row 3 (Clone group ID 8, clone #2)
19:46:38.211 [main] INFO  - 0%: Generating PDG for method "testCompareFloat" in "org.apache.commons.lang3.math.NumberUtilsTest"
19:46:38.234 [main] INFO  - 0%: Analyzing Clone #1 (Group 8, Pair 1-2): org.apache.commons.lang3.math.NumberUtilsTest#testCompareDouble (row 2) and org.apache.commons.lang3.math.NumberUtilsTest#testCompareFloat (row 3)
19:46:38.314 [main] INFO  - CDT 1 depth = 0, CDT 2 depth = 0
19:46:38.315 [main] INFO  - CDT 1 leaves = 1, CDT 2 leaves = 1
19:46:42.737 [main] INFO  - start to refactor clone pair
19:46:42.768 [main] INFO  - get compatible primitive type
19:46:42.768 [main] INFO  - get compatible primitive type
19:46:42.768 [main] INFO  - get compatible primitive type
19:46:42.769 [main] INFO  - get compatible primitive type
19:46:42.769 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.771 [main] INFO  - get compatible primitive type
19:46:42.771 [main] INFO  - get compatible primitive type
19:46:42.771 [main] INFO  - get compatible primitive type
19:46:42.771 [main] INFO  - get compatible primitive type
19:46:42.771 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.772 [main] INFO  - get compatible primitive type
19:46:42.772 [main] INFO  - get compatible primitive type
19:46:42.772 [main] INFO  - get compatible primitive type
19:46:42.772 [main] INFO  - get compatible primitive type
19:46:42.772 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.772 [main] INFO  - get compatible primitive type
19:46:42.772 [main] INFO  - get compatible primitive type
19:46:42.772 [main] INFO  - get compatible primitive type
19:46:42.773 [main] INFO  - get compatible primitive type
19:46:42.773 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.773 [main] INFO  - get compatible primitive type
19:46:42.773 [main] INFO  - get compatible primitive type
19:46:42.773 [main] INFO  - get compatible primitive type
19:46:42.773 [main] INFO  - get compatible primitive type
19:46:42.773 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.773 [main] INFO  - get compatible primitive type
19:46:42.774 [main] INFO  - get compatible primitive type
19:46:42.774 [main] INFO  - get compatible primitive type
19:46:42.774 [main] INFO  - get compatible primitive type
19:46:42.774 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.774 [main] INFO  - get compatible primitive type
19:46:42.774 [main] INFO  - get compatible primitive type
19:46:42.774 [main] INFO  - get compatible primitive type
19:46:42.774 [main] INFO  - get compatible primitive type
19:46:42.774 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.775 [main] INFO  - get compatible primitive type
19:46:42.775 [main] INFO  - get compatible primitive type
19:46:42.775 [main] INFO  - get compatible primitive type
19:46:42.775 [main] INFO  - get compatible primitive type
19:46:42.775 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.775 [main] INFO  - get compatible primitive type
19:46:42.775 [main] INFO  - get compatible primitive type
19:46:42.775 [main] INFO  - get compatible primitive type
19:46:42.775 [main] INFO  - get compatible primitive type
19:46:42.775 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.776 [main] INFO  - get compatible primitive type
19:46:42.776 [main] INFO  - get compatible primitive type
19:46:42.776 [main] INFO  - get compatible primitive type
19:46:42.776 [main] INFO  - get compatible primitive type
19:46:42.776 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.776 [main] INFO  - get compatible primitive type
19:46:42.776 [main] INFO  - get compatible primitive type
19:46:42.776 [main] INFO  - get compatible primitive type
19:46:42.777 [main] INFO  - get compatible primitive type
19:46:42.777 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.777 [main] INFO  - get compatible primitive type
19:46:42.777 [main] INFO  - get compatible primitive type
19:46:42.777 [main] INFO  - get compatible primitive type
19:46:42.777 [main] INFO  - get compatible primitive type
19:46:42.777 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.777 [main] INFO  - get compatible primitive type
19:46:42.777 [main] INFO  - get compatible primitive type
19:46:42.777 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.778 [main] INFO  - get compatible primitive type
19:46:42.779 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.779 [main] INFO  - get compatible primitive type
19:46:42.779 [main] INFO  - get compatible primitive type
19:46:42.779 [main] INFO  - get compatible primitive type
19:46:42.779 [main] INFO  - get compatible primitive type
19:46:42.779 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.779 [main] INFO  - get compatible primitive type
19:46:42.779 [main] INFO  - get compatible primitive type
19:46:42.779 [main] INFO  - get compatible primitive type
19:46:42.779 [main] INFO  - get compatible primitive type
19:46:42.780 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.780 [main] INFO  - get compatible primitive type
19:46:42.780 [main] INFO  - get compatible primitive type
19:46:42.780 [main] INFO  - get compatible primitive type
19:46:42.780 [main] INFO  - get compatible primitive type
19:46:42.780 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.780 [main] INFO  - get compatible primitive type
19:46:42.780 [main] INFO  - get compatible primitive type
19:46:42.780 [main] INFO  - get compatible primitive type
19:46:42.781 [main] INFO  - get compatible primitive type
19:46:42.781 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.781 [main] INFO  - get compatible primitive type
19:46:42.781 [main] INFO  - get compatible primitive type
19:46:42.781 [main] INFO  - get compatible primitive type
19:46:42.781 [main] INFO  - get compatible primitive type
19:46:42.781 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.782 [main] INFO  - get compatible primitive type
19:46:42.782 [main] INFO  - get compatible primitive type
19:46:42.782 [main] INFO  - get compatible primitive type
19:46:42.782 [main] INFO  - get compatible primitive type
19:46:42.782 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.783 [main] INFO  - get compatible primitive type
19:46:42.783 [main] INFO  - get compatible primitive type
19:46:42.783 [main] INFO  - get compatible primitive type
19:46:42.784 [main] INFO  - get compatible primitive type
19:46:42.784 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.784 [main] INFO  - get compatible primitive type
19:46:42.784 [main] INFO  - get compatible primitive type
19:46:42.784 [main] INFO  - get compatible primitive type
19:46:42.784 [main] INFO  - get compatible primitive type
19:46:42.785 [main] INFO  - Skip refactoring type level SimpleName node pair: Double, Float
19:46:42.785 [main] INFO  - get compatible primitive type
19:46:42.785 [main] INFO  - get compatible primitive type
